Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-07-14,70.44,70.68,69.93,70.62,181487400,0.0,0
2009-07-15,71.55,72.88,70.67,72.68,220877900,0.0,0
2009-07-16,72.48,73.66,72.34,72.57,231174500,0.0,0
2009-07-17,73.31,73.51,72.9,73.36,138561700,0.0,0
2009-07-20,73.79,74.27,73.41,74.14,164179400,0.0,0
2009-07-21,74.72,74.74,73.59,74.49,217718300,0.0,0
2009-07-22,74.01,74.92,73.96,74.47,196068100,0.0,0
2009-07-23,74.52,76.44,74.45,76.11,258795500,0.0,0
2009-07-24,75.76,76.49,75.36,76.43,154003100,0.0,0
2009-07-27,76.29,76.69,75.86,76.65,159259400,0.0,0
2009-07-28,76.11,76.67,75.65,76.29,186685200,0.0,0
2009-07-29,75.94,76.45,75.58,76.11,194399300,0.0,0
2009-07-30,77.03,77.81,76.85,76.9,225575400,0.0,0
2009-07-31,76.89,77.52,76.68,77.01,207358000,0.0,0
2009-08-03,77.82,78.35,77.4,78.28,175776900,0.0,0
2009-08-04,77.93,78.59,77.77,78.48,176714600,0.0,0
2009-08-05,78.54,78.61,77.61,78.26,184726400,0.0,0
2009-08-06,78.62,78.73,77.49,77.85,193203800,0.0,0
2009-08-07,78.67,79.52,78.24,78.87,220640900,0.0,0
2009-08-10,78.51,78.89,78.15,78.71,130898700,0.0,0
2009-08-11,78.36,78.41,77.52,77.73,157301000,0.0,0
2009-08-12,77.59,79.15,77.56,78.56,219052400,0.0,0
2009-08-13,78.92,79.19,78.14,79.16,176449500,0.0,0
2009-08-14,79.12,79.18,77.7,78.55,199616100,0.0,0
2009-08-17,77.04,77.12,76.46,76.62,237667500,0.0,0
2009-08-18,76.79,77.5,76.65,77.23,173461500,0.0,0
2009-08-19,76.62,78.17,76.54,77.91,192812800,0.0,0
2009-08-20,78.01,78.89,77.84,78.71,174131300,0.0,0
2009-08-21,79.36,80.38,79.2,80.25,224605000,0.0,0
2009-08-24,80.58,81.02,79.96,80.24,191279000,0.0,0
2009-08-25,80.56,81.26,80.23,80.4,215310600,0.0,0
2009-08-26,80.15,80.77,79.88,80.41,194620700,0.0,0
2009-08-27,80.36,80.84,79.45,80.59,196230100,0.0,0
2009-08-28,81.23,81.33,80.02,80.57,147024400,0.0,0
2009-08-31,79.78,79.95,79.33,79.86,176051600,0.0,0
2009-09-01,79.46,80.46,77.93,78.09,321276800,0.0,0
2009-09-02,77.77,78.28,77.6,77.8,171805000,0.0,0
2009-09-03,78.25,78.54,77.62,78.44,143572300,0.0,0
2009-09-04,78.6,79.57,78.37,79.54,142687900,0.0,0
2009-09-08,80.28,80.31,79.8,80.23,132909100,0.0,0
2009-09-09,80.37,81.12,80.12,80.84,154612500,0.0,0
2009-09-10,80.9,81.73,80.45,81.67,162902400,0.0,0
2009-09-11,81.83,82.07,81.27,81.66,152360100,0.0,0
2009-09-14,80.96,82.19,80.39,82.05,149593800,0.0,0
2009-09-15,82.19,82.7,81.65,82.4,196795900,0.0,0
2009-09-16,82.69,83.66,82.4,83.64,206406300,0.0,0
2009-09-17,83.53,84.22,83.06,83.52,229170900,0.0,0
2009-09-18,83.91,83.92,83.29,83.57,153799100,0.51,0
2009-09-21,82.92,83.79,82.74,83.36,151892000,0.0,0
2009-09-22,83.85,84.08,83.48,83.85,143126700,0.0,0
2009-09-23,84.04,84.6,83.0,83.15,225947400,0.0,0
2009-09-24,83.33,83.51,81.87,82.23,228636800,0.0,0
2009-09-25,82.05,82.51,81.51,81.79,204059000,0.0,0
2009-09-28,82.11,83.44,82.09,83.26,118285800,0.0,0
2009-09-29,83.41,83.81,82.84,83.01,133733900,0.0,0
2009-09-30,83.29,83.37,81.93,82.69,254383000,0.0,0
2009-10-01,80.66,82.8,80.62,80.63,281840600,0.0,0
2009-10-02,79.89,80.74,79.87,80.26,224748800,0.0,0
2009-10-05,80.58,81.69,80.35,81.46,149875000,0.0,0
2009-10-06,82.04,83.09,82.0,82.62,202491100,0.0,0
2009-10-07,82.44,82.94,82.28,82.85,159200300,0.0,0
2009-10-08,83.44,83.92,82.89,83.49,183305800,0.0,0
2009-10-09,83.51,83.99,83.29,83.99,135008300,0.0,0
2009-10-12,84.39,84.64,84.01,84.32,118031000,0.0,0
2009-10-13,84.1,84.35,83.6,84.15,157692700,0.0,0
2009-10-14,85.14,85.69,84.12,85.6,191421600,0.0,0
2009-10-15,85.18,85.91,85.15,85.91,173873600,0.0,0
2009-10-16,85.2,85.57,84.75,85.27,192069400,0.0,0
2009-10-19,85.41,86.24,85.15,85.98,159530400,0.0,0
2009-10-20,86.1,86.13,85.11,85.52,180921100,0.0,0
2009-10-21,85.39,86.38,84.69,84.75,225379300,0.0,0
2009-10-22,84.72,85.89,84.18,85.62,238444000,0.0,0
